2501090
186, -41
186, -40
186, -39
187, -38
187, -37
183, -35
181, -33
171, -30
167, -29
171, -28
179, -28
168, -25
169, -25
169, -24
169, -23
169, -21
173, -21
173, -20
173, -19
170, -17
170, -16
167, -15
164, -14
164, -13
162, -11
159, -10
162, -9
168, -9
162, -7
165, -7
165, -6
156, -4
153, -3
148, -2
148, -1
153, 0
155, 0
156, 0
156, 1
154, 2
156, 3
156, 4
151, 5
156, 6
157, 7
156, 8
151, 9
147, 9
146, 10
146, 11
147, 12
149, 13
149, 14
149, 15
144, 15
140, 16
139, 17
138, 17
143, 19
143, 20
143, 21
143, 22
143, 23
136, 22
134, 23
134, 24
134, 25
134, 25
136, 27
136, 27
139, 29
135, 29
135, 30
136, 31
136, 32
130, 31
135, 34
134, 34
127, 33
134, 36
135, 37
135, 38
135, 39
135, 40
134, 40
134, 41
133, 42
141, 45
133, 44
132, 44
133, 45
133, 46
131, 47
131, 47
131, 48
130, 49
130, 50
126, 49
126, 50
125, 50
125, 52
129, 54
128, 55
128, 55
133, 59
127, 57
123, 56
132, 61
121, 57
119, 57
119, 58
119, 59
118, 59
118, 60
118, 61
120, 63
122, 65
122, 66
121, 67
122, 68
123, 69
121, 69
120, 70
120, 71
119, 71
118, 72
114, 70
113, 70
115, 73
115, 74
114, 74
114, 75
110, 73
110, 74
108, 74
108, 75
107, 76
109, 77
108, 78
110, 80
112, 83
115, 86
113, 86
113, 87
112, 87
109, 86
109, 87
108, 88
108, 88
108, 90
109, 92
108, 92
108, 93
107, 94
108, 96
101, 90
107, 97
106, 98
106, 98
103, 97
102, 97
102, 98
101, 99
106, 105
106, 106

2501191
192, -43
192, -41
179, -37
178, -36
178, -35
178, -34
175, -32
176, -31
176, -30
176, -29
174, -28
174, -27
184, -27
178, -25
178, -24
178, -23
169, -20
169, -19
169, -18
172, -18
172, -16
172, -15
169, -14
155, -12
155, -11
155, -10
155, -9
154, -8
154, -7
154, -6
154, -5
154, -4
154, -3
154, -2
147, -1
147, 0
148, 0
150, 0
150, 1
152, 2
150, 3
146, 4
146, 5
146, 6
146, 7
146, 8
148, 9
148, 10
148, 10
142, 11
142, 12
142, 13
142, 14
140, 14
140, 15
139, 16
138, 17
138, 17
138, 18
138, 19
140, 20
140, 21
140, 22
140, 23
139, 24
139, 25
138, 25
138, 26
138, 27
138, 28
137, 29
137, 30
137, 30
139, 32
136, 32
136, 33
138, 34
137, 35
135, 35
136, 36
135, 37
135, 38
134, 38
135, 40
133, 40
129, 40
129, 41
